baseml_subtree_id	source_tree_file	simulated_tree_file	tree_seed	n_edges_randomized	min_multiplier	max_multiplier	mean_multiplier
baseml_subtree_0001	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0001.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0001.nwk	748979162	2936	0.385253640551	2.14962670844	1.00063308719
baseml_subtree_0002	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0002.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0002.nwk	1102339673	1694	0.423595299831	2.49729209962	1.00280217281
baseml_subtree_0003	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0003.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0003.nwk	1652847200	642	0.451077573388	2.14604630382	1.01267870975
baseml_subtree_0004	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0004.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0004.nwk	1890166018	2956	0.402444363516	2.12301104658	0.998666899091
baseml_subtree_0005	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0005.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0005.nwk	328542487	2956	0.438829249776	2.65728793607	0.995188528516
baseml_subtree_0006	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0006.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0006.nwk	388307284	3048	0.364683020472	2.38152078122	1.00477203321
baseml_subtree_0007	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0007.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0007.nwk	1246176301	2946	0.324047359045	2.3941442022	0.982900642334
baseml_subtree_0008	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0008.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0008.nwk	2026038101	2942	0.346043157951	2.10867668449	0.991714786168
baseml_subtree_0009	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0009.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0009.nwk	1721758210	970	0.427141784575	2.63301452383	1.00717565994
baseml_subtree_0010	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/baseml_subtrees/baseml_subtree_0010.nwk	/mnt/f/onedrive/文档（科研）/脚本/Download/18-phylogenetic/5-拆树PAML合树/output/merge/simulated_baseml_subtrees/baseml_subtree_0010.nwk	903394915	3004	0.412168924417	2.10240971004	1.00787989949
