edge_role	core_subtree_id	baseml_subtree_id	node_id	descendant_tip_hash	descendant_n_tips	old_branch_length	new_branch_length	scale_multiplier	scale_source_core_ids	changed
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ705138	113ec182415bace41880a17705f76aa2bd3a98176811976f9883cd4bedd3e358	1	0.00055	0.00042	0.763636363636	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ703317	15b9433b96a05239ef8d50c90c7d2afb738996742949df6eb880fac4fe222faf	1	0.00055	0.00061	1.10909090909	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JX152913	2058e3006f2f0dc2d05127c6f84f2c17026527c20612a179b59ed91c24b7e550	1	0.00055	0.00051	0.927272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000065	5badf778eec5285effd6b470336cda8b47d2737129526a735f50c14bb4fccae5	2	0.00055	0.00062	1.12727272727	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000064	d41bbcfa33ae69542d55a3441d005ea84b82d8ffe8eecad91c97610e6f4b9ea3	3	0.00055	0.00057	1.03636363636	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ704717	078eaae0cdcb7d99d63b15915c76ac1dd273f3389bb92a927983d6cb1bf494ba	1	0.00055	0.00057	1.03636363636	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::KJ856765	99e3280d1acc3da9f174ff27356b3a1c22b0509e855d0338d264b13dfb9bd768	1	0.00055	0.00074	1.34545454545	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ703535	88dca879640acb257153a686502be72c5a6fe539a8c5412a8c1eb817194e9bfa	1	0.00055	0.00063	1.14545454545	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::MN687117	b289261367b2465f6f90870ee6df8090113d1c7d54b5deaef1fbbec178dcfa9b	1	0.00055	0.00057	1.03636363636	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::HQ659703	8853aa4021ffc8bb2e1bccd55da399f41c040eb382d0c9673cfdba456d9f54d4	1	0.00055	0.00042	0.763636363636	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000070	e24a2c7b6ec8ab3c6b0e6757495d3ffbdc561c6c22313f45d67826aa5a4b596a	2	0.00055	0.00059	1.07272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000069	6c4e2a261cf81f4d526214c3ac17d6632f3e81914b3ba3c2cf5805ef2a19b331	3	0.00055	0.00055	1	[]	false
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000068	149ea77aec03fe81fb0b68297fc242820cef1c32fd0b7ee480271e0b8344a83b	4	0.00055	0.00051	0.927272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000067	8c9f55e14bb4b335663701045610dc1a41d5d7a9e919e9305d227581c7ed7758	5	0.00055	0.00054	0.981818181818	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::AY495153	77589418d084abd421b78a99d08b0a7073df5cddb5c816e41c1517897dc8b393	1	0.00055	0.00043	0.781818181818	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ324713	fa6fd4913b413ec1d3872b86608d91aa7410d5969d106b2422f84ed0d3f38e6f	1	0.00055	0.00046	0.836363636364	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::KY662470	793f223631c8466f4f5072bc46f25d4082cd0e3daf76200b42958ea85a31ba8d	1	0.00055	0.00025	0.454545454545	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JX153392	1aa85ada09933398c741d6d39f24045c818545a377d5db70c138785c8bf8c3bf	1	0.00055	0.0009	1.63636363636	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000075	83ea1ffc391b6a43276ebad4ffe6f8e88ffe82937a3a36ac3af2e717c79fa7f2	2	0.00055	0.00046	0.836363636364	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000074	5ca9f397ef639eb86327fef2d0506a9e6c3384dbeca4a6215a43c195f357de75	3	0.00055	0.0007	1.27272727273	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JQ704411	9b93025ee43a63cbd334ac0849f007d3b82bd67f01402073bc101ffc68e6e761	1	0.00055	0.00059	1.07272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000073	b84da922b7beb6148ee8e359ec8871efd27b403acdfbb7d3feccacf418e41fb7	4	0.00055	0.00049	0.890909090909	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000072	f6f2ee8c2a274eaab4f61831d80688898246980eaf898445a15355a1a24c82ab	5	0.00055	0.00036	0.654545454545	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::HQ703482	22cee4f8af7d16d7cbf82dccc1b16cd22103be85aa1c40898d1181d747e84dd2	1	0.00055	0.00076	1.38181818182	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::JX153943	0c91533dc4d3a3d2e06552fc2fb581dc8948c8c810ad531584feb11b346a4acf	1	0.00055	0.00059	1.07272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000076	ad09a57c5ed00ec910fd67c27240113e16d7c939d9caa7258f668e730d690401	2	0.00055	0.00097	1.76363636364	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000071	9371cd162fc09e0012c42e5d9ab88b09f4c4fec91189c8f0c328645355725733	7	0.00055	0.00056	1.01818181818	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000066	4951b0196cacca98a8a95c6ddeaa569d6894e8d462807e9e20b1c00923f89d56	12	0.00055	0.00046	0.836363636364	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000063	be9f3b6a03cbf4e7bf50f20d7197fc93e83792af2838a3fd99b0ff81826ff56d	15	0.00055	0.0004	0.727272727273	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::GU592025	f23d865b0d5127450d61643b7a8aeb043e022503b9a3e1c291fbd28a703a100e	1	0.00055	0.00052	0.945454545455	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::KC911565	990bcad02fa1c8d5f33eddaebe1cd6d1194c76edbd3dd6bca61da09c101474cc	1	0.00055	0.00042	0.763636363636	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000078	e383d158af2d6695055a88f09f2c73f236e279037e825acf68469550bab9a733	2	0.00055	0.00062	1.12727272727	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::HM103358	0ff4c883cdeb438f46fbc53368ec839136d27735c6cccfd94c5d288a29a7a58c	1	0.00055	0.00036	0.654545454545	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000077	ca7fe76a94316c9c913dcf9e8a49df70fd9add98e38b0779f724f66a370219e4	3	0.00055	0.00059	1.07272727273	[]	true
core_internal	core_subtree_0001	baseml_subtree_0001	NODE_000062	ac071eeddc85d7988925fb727f944f61b93ca3ff337624bd970cc055d5928d75	18	0.00055	0.00086	1.56363636364	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::MN687176	4e78fc8842e5cfe8573579d935d10c32520659050c732a87859e234752b937e4	1	0.00055	0.00033	0.6	[]	true
core_tip	core_subtree_0001	baseml_subtree_0001	TIP::HGDP00613	1d37ac09074da499fa3eaa5285cc7af1217335a82c06ed5e6d329a8104fcc5ed	1	0.00055	0.00048	0.872727272727	[]	true
