# Reference: Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock
Haplogroup	Time estimate (years)	SD (years)
RSRS	176689.4	11339.9
L0	136289.1	11753.6
L0abfk	124793.8	10669.5
L0abf	100105.6	9578.3
L0ab	35971.5	8073.3
L0a	46740.8	6932.3
L0a14	39470	8102
L0a1	27911.8	7859.5
L0a1a	16795.7	6169.2
L0a1a2	7698.6	4414.7
L0a1b	12782.2	6597.1
L0a1b1	7502.6	3066.8
L0a1b1a	4153.4	2674.5
L0a1b1a1	1261.2	1733.1
L0a1b2	5178.5	3202.3
L0a1c	13854.6	5598.6
L0a1d	5387.4	4265
L0a2	29208	5063.7
L0a2a	20577.9	5762.7
L0a2a1	15840	5748.4
L0a2a1a	6847.2	5491.7
L0a2a2	5921.5	3908.4
L0a2a2a	1602.4	2674.5
L0a2b	3883.9	2731.6
L0a2b1	1286.6	1711.7
L0a2d	24103.9	5356.2
L0f	68987.7	8751
L0f1	2369.3	2339.3
L0f2	56827.6	8843.7
L0f2a	45968.6	9842.2
L0f2a1	5377	4200.8
L0k	36762.5	9442.8
L0k1	8064.8	4643
L0d	48421.7	9406.3
L0d12	67569	8722.5
L0d1	46161.4	7338.9
L0d1a	15912.1	7453
L0d1a1	5523.4	4086.7
L0d1c	2428	2568.5
L0d1c1	5074.1	3031.1
L0d1c1a	2538.6	2382.1
L0d1c1b	2543.7	2346.4
L0d1b	25919.2	6939.5
L0d1b1	14019.3	5919.6
L0d2	46715.8	7980.7
L0d2ab	42817.1	8330.2
L0d2a	6731.2	3608.8
L0d2a1	4620.9	3188
L0d2c	11022.9	5334.8
L0d3	26989.2	8422.9
L15	152971.1	10512.6
L1	128520.9	11076.1
L1b	4333.9	3515.3
L1b1	9387.6	2310.8
L1b1a14	5492	3180.9
L1b1a2	7306.8	2831.4
L1b1a2a	4194.9	3031.1
L1b1a3	4980.2	2296.5
L1b1a3a	2862.2	1840.1
L1b1a3a1	1057.8	1383.6
L1b1a3b	2492.4	1989.8
L1b1a8	4200.1	2909.9
L1b1a6	3935.7	3309.3
L1b1a7	4896.8	3894.1
L1c	77931.5	6946.6
L1c1246	72161.7	6283.3
L1c1	60112.3	7239
L1c1abd	55842.8	7902.3
L1c1a	46641	8979.2
L1c1a1	36581.3	8266
L1c1a1a	24651.7	6989.4
L1c1a1a1	10467.2	4949.6
L1c1a1a1a	991.8	1405
L1c1a1a1b	3222.6	2396.4
L1c1a1a1b1	1144.2	1519.1
L1c1a1a2	4792.6	4093.8
L1c1a2	12329.9	4207.9
L1c1a2a	5512.9	2867.1
L1c1a2a1	3429	2424.9
L1c1a2a2	2677.2	2446.3
L1c1a2b	1169.6	1619
L1c1a2c	1480.1	2296.5
L1c1bd	51441	9870.7
L1c1b	13509.3	5812.6
L1c1d	29914.5	9143.3
L1c1c	35604.5	8116.3
L1c24	67582.1	6461.6
L1c2	37943.3	5213.5
L1c2a	29832	5677.1
L1c2a1	26616.5	6119.3
L1c2a2	4652.1	3865.6
L1c2b	35592.5	5070.9
L1c2b1	31327.4	5234.9
L1c2b1a	29466.8	6233.4
L1c2b1b	17588.1	6483
L1c2b2	25252.7	6725.5
L1c4	32069.3	7773.9
L1c4a	6173.5	3829.9
L1c4b	18759.9	7652.7
L1c3	50173.7	7624.1
L1c3a	22508.5	4978.2
L1c3a1	20924.1	4785.6
L1c3a1a	16556.4	4885.4
L1c3a1b	17225	4971
L1c3bc	43693.3	7852.4
L1c3b	12335.4	4807
L1c3b1a	2738.8	2931.3
L1c3b1b	8102	4072.4
L25	139216.8	9685.3
L5	110805.3	11796.4
L5a	25061.9	6982.3
L5a1	14839.3	5227.8
L5a1a	5021.9	4778.5
L5a1b	10526.4	4635.8
L5c	20260.7	7139.2
L5c1	8107.3	4528.8
L26	111246.6	8130.5
L2	88453.2	7838.1
